Entity,Code,Year,Annual COâ‚‚ emissions (per capita)
Qatar,QAT,1996,65.039116
Kuwait,KWT,1996,30.309591
United Arab Emirates,ARE,1996,29.31201
Curacao,CUW,1996,29.168602
Bahrain,BHR,1996,25.315393
Luxembourg,LUX,1996,22.283075
United States,USA,1996,20.867321
Brunei,BRN,1996,19.198332
Canada,CAN,1996,17.172369
Australia,AUS,1996,17.128435
Sint Maarten (Dutch part),SXM,1996,15.3045845
North America,,1996,14.402925
Denmark,DNK,1996,14.250308
Trinidad and Tobago,TTO,1996,14.053402
Faroe Islands,FRO,1996,13.606322
Saudi Arabia,SAU,1996,13.56631
Estonia,EST,1996,13.273492
Singapore,SGP,1996,13.147368
Czechia,CZE,1996,13.114143
Belgium,BEL,1996,12.79026
High-income countries,,1996,12.499062
Finland,FIN,1996,12.494933
Oceania,,1996,11.953363
Germany,DEU,1996,11.803728
Netherlands,NLD,1996,11.731838
Libya,LBY,1996,11.193171
Palau,PLW,1996,11.141168
Saint Pierre and Miquelon,SPM,1996,10.816656
Russia,RUS,1996,10.704888
New Caledonia,NCL,1996,10.700168
Greenland,GRL,1996,10.6631
Ireland,IRL,1996,10.388723
United Kingdom,GBR,1996,10.102876
Japan,JPN,1996,9.954532
Nauru,NRU,1996,9.893153
Poland,POL,1996,9.82478
Kazakhstan,KAZ,1996,9.570283
Norway,NOR,1996,9.477096
Iceland,ISL,1996,9.376993
Israel,ISR,1996,9.253601
South Korea,KOR,1996,9.220204
Aruba,ABW,1996,9.133246
Europe (excl. EU-27),,1996,9.06119
European Union (28),,1996,8.930186
Europe,,1996,8.891271
Europe (excl. EU-28),,1996,8.814806
Bermuda,BMU,1996,8.814609
European Union (27),,1996,8.769708
Austria,AUT,1996,8.467981
Greece,GRC,1996,8.248475
Slovakia,SVK,1996,8.2164545
Oman,OMN,1996,8.193873
Taiwan,TWN,1996,8.1802
South Africa,ZAF,1996,8.144183
Slovenia,SVN,1996,8.037195
New Zealand,NZL,1996,7.859588
Italy,ITA,1996,7.797271
Turkmenistan,TKM,1996,7.3595734
Sweden,SWE,1996,7.214286
Andorra,AND,1996,7.0806346
Cyprus,CYP,1996,7.05845
France,FRA,1996,6.991859
Bulgaria,BGR,1996,6.9583907
Ukraine,UKR,1996,6.9497585
Malta,MLT,1996,6.577051
Liechtenstein,LIE,1996,6.567393
Spain,ESP,1996,6.3380046
Anguilla,AIA,1996,6.300627
Switzerland,CHE,1996,6.2377644
Hungary,HUN,1996,6.126935
Bahamas,BHS,1996,5.9475837
Belarus,BLR,1996,5.9153023
Romania,ROU,1996,5.7609057
Serbia,SRB,1996,5.7327785
British Virgin Islands,VGB,1996,5.452381
Malaysia,MYS,1996,5.347406
Venezuela,VEN,1996,5.2389092
Portugal,PRT,1996,5.131173
Gabon,GAB,1996,5.1152673
North America (excl. USA),,1996,5.1142936
Barbados,BRB,1996,5.094993
Montserrat,MSR,1996,4.735686
North Macedonia,MKD,1996,4.7219
Suriname,SUR,1996,4.6920376
Uzbekistan,UZB,1996,4.610266
Hong Kong,HKG,1996,4.564423
Iran,IRN,1996,4.463204
Turks and Caicos Islands,TCA,1996,4.397726
Bonaire Sint Eustatius and Saba,BES,1996,4.3553214
Lithuania,LTU,1996,4.2288733
World,OWID_WRL,1996,4.163014
Antigua and Barbuda,ATG,1996,4.1459246
Azerbaijan,AZE,1996,3.930292
Jamaica,JAM,1996,3.824723
Mexico,MEX,1996,3.731603
Argentina,ARG,1996,3.7054877
Croatia,HRV,1996,3.6446834
Latvia,LVA,1996,3.6352124
Macao,MAC,1996,3.4799867
Iraq,IRQ,1996,3.4525044
Algeria,DZA,1996,3.4514637
Upper-middle-income countries,,1996,3.3770304
Mongolia,MNG,1996,3.366689
Turkey,TUR,1996,3.3112319
Chile,CHL,1996,3.29967
Asia (excl. China and India),,1996,3.2234113
Syria,SYR,1996,3.2040303
Lebanon,LBN,1996,3.1611278
Niue,NIU,1996,3.1545415
Seychelles,SYC,1996,3.1030302
Saint Kitts and Nevis,KNA,1996,3.058998
Jordan,JOR,1996,2.9998617
North Korea,PRK,1996,2.9313927
Thailand,THA,1996,2.8826215
Cook Islands,COK,1996,2.878079
China,CHN,1996,2.8566484
Moldova,MDA,1996,2.6380508
Montenegro,MNE,1996,2.453333
Asia,,1996,2.4322503
Equatorial Guinea,GNQ,1996,2.3267488
Guyana,GUY,1996,2.192827
South America,,1996,2.1872687
Ecuador,ECU,1996,2.1485708
Cuba,CUB,1996,2.1283293
Dominican Republic,DOM,1996,2.0573769
French Polynesia,PYF,1996,1.9940135
Saint Lucia,LCA,1996,1.9035991
Tunisia,TUN,1996,1.7622752
Brazil,BRA,1996,1.7424477
Botswana,BWA,1996,1.7414812
Saint Helena,SHN,1996,1.7414448
Marshall Islands,MHL,1996,1.7056404
Uruguay,URY,1996,1.6751709
Mauritius,MUS,1996,1.6624079
Micronesia (country),FSM,1996,1.6534594
Colombia,COL,1996,1.6355026
Panama,PAN,1996,1.6044024
Wallis and Futuna,WLF,1996,1.5359464
Egypt,EGY,1996,1.4939458
Grenada,GRD,1996,1.4675287
Belize,BLZ,1996,1.4665986
Congo,COG,1996,1.4334344
Zimbabwe,ZWE,1996,1.3337514
Costa Rica,CRI,1996,1.2817494
Indonesia,IDN,1996,1.2566929
Bolivia,BOL,1996,1.2536842
Kyrgyzstan,KGZ,1996,1.2111462
Africa,,1996,1.1761504
Saint Vincent and the Grenadines,VCT,1996,1.1540056
Maldives,MDV,1996,1.0970018
Morocco,MAR,1996,1.0935374
Lower-middle-income countries,,1996,1.0858201
Bosnia and Herzegovina,BIH,1996,1.0848964
Angola,AGO,1996,1.060181
Dominica,DMA,1996,1.0592351
Namibia,NAM,1996,1.0436362
Fiji,FJI,1996,0.99485904
Peru,PER,1996,0.992363
Lesotho,LSO,1996,0.88830966
Nigeria,NGA,1996,0.88223714
Philippines,PHL,1996,0.86355734
Georgia,GEO,1996,0.8514128
India,IND,1996,0.8376247
Eswatini,SWZ,1996,0.8091266
Paraguay,PRY,1996,0.78927684
Tonga,TON,1996,0.7678352
El Salvador,SLV,1996,0.7614942
Armenia,ARM,1996,0.75792223
Samoa,WSM,1996,0.7048865
Pakistan,PAK,1996,0.6815979
Yemen,YEM,1996,0.68029267
Honduras,HND,1996,0.6484542
Guatemala,GTM,1996,0.6180344
Albania,ALB,1996,0.61672294
Nicaragua,NIC,1996,0.5916487
Bhutan,BTN,1996,0.55492467
Cape Verde,CPV,1996,0.5134602
Solomon Islands,SLB,1996,0.5124688
Cote d'Ivoire,CIV,1996,0.50813836
Vanuatu,VUT,1996,0.4823122
Djibouti,DJI,1996,0.4774245
Vietnam,VNM,1996,0.47342482
Tajikistan,TJK,1996,0.46785668
Papua New Guinea,PNG,1996,0.45760554
Cameroon,CMR,1996,0.4401117
Mauritania,MRT,1996,0.43747813
Low-income countries,,1996,0.4321997
Senegal,SEN,1996,0.4143357
Eritrea,ERI,1996,0.39684013
Tuvalu,TUV,1996,0.38043818
Sri Lanka,LKA,1996,0.38043812
Palestine,PSE,1996,0.3792651
Kiribati,KIR,1996,0.35380456
Sao Tome and Principe,STP,1996,0.35172755
Kenya,KEN,1996,0.33649155
Togo,TGO,1996,0.28457078
Ghana,GHA,1996,0.2722742
Zambia,ZMB,1996,0.20646931
Liberia,LBR,1996,0.19395056
Benin,BEN,1996,0.19081765
Guinea-Bissau,GNB,1996,0.17988971
Bangladesh,BGD,1996,0.17929077
Gambia,GMB,1996,0.17187542
Sudan,SDN,1996,0.17113605
Myanmar,MMR,1996,0.16553254
Comoros,COM,1996,0.16307868
Guinea,GIN,1996,0.1607118
Laos,LAO,1996,0.14867227
Cambodia,KHM,1996,0.1458796
Haiti,HTI,1996,0.13108276
Nepal,NPL,1996,0.10326465
Malawi,MWI,1996,0.08918363
Madagascar,MDG,1996,0.08698043
Tanzania,TZA,1996,0.081138305
Afghanistan,AFG,1996,0.080092125
Democratic Republic of Congo,COD,1996,0.078710996
Somalia,SOM,1996,0.07698248
Rwanda,RWA,1996,0.06909959
Mozambique,MOZ,1996,0.06790074
South Sudan,SSD,1996,0.067594305
Burkina Faso,BFA,1996,0.066348344
Mali,MLI,1996,0.063766934
Central African Republic,CAF,1996,0.06318038
Niger,NER,1996,0.06293437
Chad,TCD,1996,0.06155542
Sierra Leone,SLE,1996,0.053096797
Uganda,UGA,1996,0.047911186
Ethiopia,ETH,1996,0.04708171
Burundi,BDI,1996,0.04077624
East Timor,TLS,1996,0.0
